#ϕi     #w (amp2)             #rf   #wt	                  #mf	                #com	                #Q
0.01    1.006566950898556     150   0.9931387469372172    0.2019903440436157    0.001346692073095568    0.2051854128702093
0.02    1.0132795537182488    110   0.986398465030154     0.2798254205148090    0.002544098740928813    0.2887303724410396
0.03    1.0201415406410632    90    0.9797775546231252    0.3357553725000477    0.003731029808867803    0.3518778198427634
0.04    1.0271567639374126    80    0.9732744748652175    0.3798657521087661    0.004748915515798813    0.4043314060100646
0.05    1.0343292005390652    75    0.9668877425139648    0.4161688651674359    0.005549658156653259    0.4498738383700387
0.06    1.0416629568019542    65    0.9606159307163967    0.4467764844903990    0.006874541998621697    0.4904573774874834
0.07    1.0491622734766182    60    0.9544576678825735    0.4729753224777526    0.007884236080643092    0.5272490930402138
0.08    1.0568315308909924    55    0.9484116365855647    0.4956247107602818    0.009012997104206277    0.561014208670004
0.09    1.0646752543560656    55    0.9424765724963009    0.5153359750581777    0.009371448900858337    0.5922876012380626
0.10    1.0726981198099255    50    0.9366512634041222    0.5325645466573281    0.010653421617470349    0.6214611415306012
						Real Maximum
0.11    1.0809049596990030    50    0.9309345481948605    0.5476618459254317    0.010955428004109757    0.6488324779643944
0.12    1.0893007691282786    45    0.9253253159902166    0.5609066122847762    0.012467361908974905    0.6746342418524472
0.13    1.0978907122664927    45    0.9198225051892456    0.5725248869169792    0.012725603176638900    0.6990525126953638
0.14    1.1066801290463353    45    0.9144251026726381    0.5827033281404258    0.012951841034461675    0.7222390120111986
0.15    1.1156745421513492    40    0.9091321429645838    0.5915984140003715    0.014793658764700237    0.744319454537616
0.16    1.1248796643080072    40    0.9039427074057119    0.5993429986399099    0.014987321796446630    0.7653994432559792
0.17    1.1343014059187648    40    0.8988559234963370    0.6060511040869733    0.015155066368766292    0.7855687365077378
0.18    1.1439458830128695    40    0.8938709641045316    0.6118215049498514    0.015299362464362141    0.8049044109463608
0.19    1.1538194255632346    40    0.8889870467966915    0.6167404602246436    0.015422367097390201    0.8234732483693089
0.20    1.1639285861744504    35    0.8842034331907684    0.6208838319920179    0.017744607944898240    0.8413335690784882
0.21    1.1742801491503911    35    0.8795194282775990    0.6243187543752147    0.017842776632614632    0.8585366626971981
0.22    1.1848811399873440    35    0.8749343798854035    0.6271049642463572    0.017922405380003670    0.8751279171582008
0.23    1.1957388352719060    35    0.8704476780321064    0.6292958777509554    0.017985020798826135    0.8911477244759877
0.24    1.2068607730381609    35    0.8660587543845353    0.6309394686637637    0.018031993960095305    0.9066322122607879
0.25    1.2182547635863907    35    0.8617670817060005    0.6320789932624988    0.018064561110673616    0.9216138421879779
